BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
195707,7,2100,195707,7,2100,,10071011,NEBRASKA,31,1957,July,Hail,C,3,ANTELOPE,,7/7/57 21:00,CST,7/7/57 21:00,0,0,0,0,0,0,,2.5,,,,,0,0,,,,,0,,,0,,,42.08,-98,,
195706,19,1235,195706,19,1235,,10081394,NEW HAMPSHIRE,33,1957,June,Tornado,C,15,ROCKINGHAM,,6/19/57 12:35,CST,6/19/57 12:35,1,0,0,0,25K,0,,0,,,,F2,0.2,77,,,,,0,,,0,,,43.1,-70.8,,
195707,14,1300,195707,14,1300,,10081395,NEW HAMPSHIRE,33,1957,July,Hail,C,9,GRAFTON,,7/14/57 13:00,CST,7/14/57 13:00,0,0,0,0,0,0,,1,,,,,0,0,,,,,0,,,0,,,44.08,-72.08,,
195711,8,1800,195711,8,1800,,10078079,NORTH CAROLINA,37,1957,November,Tornado,C,65,EDGECOMBE,,11/8/57 18:00,CST,11/8/57 18:00,3,0,0,0,250K,0,,0,,,,F3,22.1,150,,,,,0,,,0,,,35.73,-77.67,35.85,-77.3
195706,28,1030,195706,28,1030,,9977704,ALABAMA,1,1957,June,Tornado,C,35,CONECUH,,6/28/57 10:30,CST,6/28/57 10:30,0,0,0,0,2.5K,0,,0,,,,F1,1,33,,,,,0,,,0,,,31.43,-87.05,,
195706,28,1100,195706,28,1100,,9977705,ALABAMA,1,1957,June,Tornado,C,35,CONECUH,,6/28/57 11:00,CST,6/28/57 11:00,0,0,0,0,250K,0,,0,,,,F2,1.1,200,,,,,0,,,0,,,31.43,-86.7,31.45,-86.7
195705,30,1739,195705,30,1739,,10080607,NEW MEXICO,35,1957,May,Tornado,C,25,LEA,,5/30/57 17:39,CST,5/30/57 17:39,0,0,0,0,0K,0,,0,,,,F0,0,33,,,,,0,,,0,,,32.43,-103.15,,
195707,31,1500,195707,31,1500,,10079212,NEW JERSEY,34,1957,July,Thunderstorm Wind,C,0,,,7/31/57 15:00,CST,7/31/57 15:00,0,0,0,0,0,0,,0,,,,,0,0,,,,,0,,,0,,,40.28,-74,,
195705,22,15,195705,22,15,,10061503,MISSOURI,29,1957,May,Tornado,C,155,PEMISCOT,,5/22/57 0:15,CST,5/22/57 0:15,0,0,0,0,25K,0,,0,,,,F1,5.2,33,,,,,0,,,0,,,36.17,-89.97,36.2,-89.88
195703,24,1200,195703,24,1200,,9976815,ALABAMA,1,1957,March,Hail,C,129,WASHINGTON,,3/24/57 12:00,CST,3/24/57 12:00,0,0,0,0,0,0,,1,,,,,0,0,,,,,0,,,0,,,31.7,-88.08,,
